pc_roads_lead2,pc_housing_lead2,exec_margin
52.5531338,19.25181005,-0.011310965
138.6724783,0,-0.076983631
34.67650607,0,0.162645936
61.01681718,0,0.020199478
60.83354278,0,-0.017850578
70.22446611,0,0.082543969
NA,NA,-0.243408173
242.6304299,34.66003239,-0.082149118
101.0921926,15.30624133,-0.152068973
46.82655251,65.27319313,0.116224408
659.1465613,0,3.86E-04
569.4099915,0,0.033433318
571.6283327,0,0.001437128
539.9221841,0,0.053602695
31.16579591,0,-0.013017744
141.4317085,13.96819135,0.201897025
113.8004908,7.14042295,-0.150317222
128.7583565,48.18997246,-0.172928631
48.10190249,91.79223835,-0.220648289
27.88749936,8.479307238,0.170949578
76.12091713,13.70354708,0.134633899
123.870948,75.2453092,-0.157678902
71.30812335,70.2719114,0.15573889
54.78300617,56.04848167,-0.118082225
132.7192959,98.76512385,-0.009116977
NA,NA,-0.038750291
60.83542802,0,-0.195268124
78.54991163,13.01747827,-0.148368895
76.41896265,9.88050519,0.169196427
137.5473949,14.26461091,0.229946077
53.42107652,22.79114096,-0.123322338
NA,NA,-0.150982022
54.51006541,218.5423372,0.194200635
62.64124094,214.7799767,0.202993631
53.37027352,193.04436,-0.011885554
63.13833427,197.3848041,-0.009293318
92.17973798,410.0859507,-0.079516649
93.89879768,0,0.011560798
167.706028,0,0.177832842
108.9460512,19.67329131,0.113744318
83.53193797,15.45129262,0.062364519
160.185055,169.6806267,0.244988859
316.517694,85.77006147,0.14233464
NA,NA,0.110237658
115.5969018,166.998997,-0.138429523
245.7640235,0,-0.074029714
NA,NA,-0.018380076
NA,NA,-0.02120468
45.93648929,1.562465622,-0.006037951
41.98334049,0,0.180478156
124.9490952,80.60574092,-0.105709881
101.6938073,159.5414113,-0.181055576
37.27519,77.53354626,-0.08218345
64.72794795,62.51169895,-0.084005475
NA,NA,-0.093139052
62.74497572,34.18196439,-0.160419166
79.98845535,27.92880056,-0.20118165
69.64731994,188.0411497,-0.002704322
55.59971638,164.8685253,0.04957068
72.02504903,191.9584615,0.213573277
71.43667257,199.7648749,-0.185798824
310.6227039,39.65358078,0.094652295
102.5784728,24.59928438,0.083491683
184.5604828,19.08123552,-0.013067484
43.30804399,24.25250464,-0.081008136
NA,NA,-0.15863353
251.2520281,213.9739587,-0.024888396
67.77722663,184.3215115,0.005214989
70.54314164,0,-0.189074934
107.8149503,8.35908547,-0.113384604
64.36259243,47.22097084,-0.178826779
57.75167058,82.35831792,-0.188888073
50.36390553,72.34518111,0.039833784
53.99532376,53.41201759,0.140671492
141.846567,451.1742056,0.078931451
NA,NA,-0.067549825
81.8840568,19.37754228,-0.154416591
73.543462,16.50216183,0.024756908
NA,NA,-0.092781782
NA,NA,0.115895629
63.60080022,0,0.089385986
107.6226203,165.6660429,-0.094231486
151.0006365,101.051841,0.1974563
NA,NA,0.103491247
82.14190087,210.8034067,0.104782999
121.4888443,136.1864918,-0.029896408
145.6439529,106.5482717,-0.168121904
112.9228628,128.6975426,-0.109898239
NA,NA,-0.126721859
103.4879489,37.96710457,-0.197406977
149.4518227,213.6642693,0.087010682
NA,NA,-0.057046264
366.4646369,15.08232004,0.119765997
159.2798567,50.14217488,-0.013991535
NA,NA,-0.004059762
61.66135099,219.5591538,0.120643198
114.9837029,137.0485803,0.091144621
126.3857018,208.8591251,0.176134765
130.0814917,159.484277,-0.122849524
81.93379062,94.64432923,0.056646526
78.95315475,165.0044009,0.046811223
48.03057598,106.958709,-0.037562311
66.01803023,24.86682512,0.064400017
184.523896,304.7282917,-0.103212953
109.2156539,17.1952079,-0.006585628
125.8594668,283.4527991,-0.04071328
223.0952931,99.48945747,-0.240802407
NA,NA,-0.013194978
83.55929797,0,-0.14340052
95.87048518,298.0255019,-0.122586668
63.30774095,63.10094612,-0.066955179
85.04751585,0,-0.135738552
92.21944938,0,-0.171619385
59.11249128,0,-0.117286772
55.77507809,11.55541153,-0.159757733
49.14274466,84.2894286,-0.160648614
53.48600165,96.25774205,-0.078739017
71.76066866,77.26075458,-0.052917242
124.5127068,204.8898752,0.028110743
86.43638768,181.9665603,0.188135087
60.16267352,111.5216116,-0.176546782
107.3539844,201.7934773,-0.104274541
158.8218126,0,0.082679391
83.26794178,0,0.329705298
47.02299382,59.15529762,-0.001366526
94.94301802,82.02889961,0.193000853
256.2207311,135.61524,-0.165760607
155.5051028,253.8548016,-0.115560383
NA,NA,0.158251941
141.5852186,293.4897602,-0.081551403
91.71858461,20.66313835,-0.074121296
88.56672669,NA,-0.176861823
67.44777848,22.19689974,0.035550416
87.06556745,19.33224563,-0.126998425
61.75368286,53.64694431,-0.128802419
124.5826474,155.6565824,0.145840287
167.579139,13.13488184,-0.098231465
NA,NA,-0.109599024
NA,NA,0.019456923
NA,NA,0.165607452
NA,NA,-0.024278432
NA,NA,0.179376781
48.32977856,371.2940656,-0.034918636
77.38018516,333.0476541,-0.10322082
91.11891644,374.2795998,-0.165322661
54.0592722,365.9831564,0.021665931
61.27564766,231.4070155,0.06496191
82.34531087,1.276290958,0.106227279
152.240412,11.46534471,-0.107275009
NA,NA,-0.037506014
NA,NA,0.013997197
59.65869034,1.909976903,0.12602222
69.67876783,40.28427064,0.066561818
43.85039622,255.9781419,0.13932544
41.87494219,96.38254851,-0.111679137
35.72250981,78.76560698,-0.034712195
39.80248093,30.68980767,0.042467535
54.3021015,27.60285112,0.179885745
45.35302416,18.0915304,-0.175700217
54.44660495,29.609968,0.049334586
143.0530153,35.9642401,0.158355713
213.5912782,34.44696143,0.091752708
77.91770588,8.677065816,0.106212318
77.06307134,0,0.110947609
42.81386707,0,0.183579743
NA,NA,0.165919304
NA,NA,0.067658901
68.13901601,8.784767047,-0.079384476
88.64284336,9.786370975,-0.103816092
65.41472621,14.13635483,-0.015295297
71.18253669,27.94446546,-0.092681795
NA,NA,0.182534099
75.98430809,19.32494563,0.176790535
146.5845731,21.79120787,0.08743453
33.93877539,0,0.13810581
29.92670568,486.3236546,-0.052381843
62.07425207,149.928614,-0.037898928
36.35699062,0,0.164595723
67.81647059,24.63248486,-0.244368255
147.7890412,95.66606256,-0.093983442
168.2437847,31.49485617,-0.12528944
26.04020897,0,0.127456546
25.67264696,0,0.095587194
33.03863968,0,0.228741288
40.56599355,1.505267022,0.169489264
41.93705924,11.40922047,0.126529872
91.0565415,14.61560964,0.113447607
73.61305997,23.63952296,0.172808588
182.4774672,9.78464114,-0.140053928
64.99632389,71.08249366,-0.071590066
85.34982404,46.92647974,0.223181248
52.20240078,0,0.117647052
106.286137,0,0.062407374
192.6901514,15.86993085,0.104420602
148.1602738,16.87803682,-0.00715524
107.5440203,41.44674041,-0.181751817
81.92819663,7.779165618,0.087765157
94.73197499,5.176610655,-0.05804643
68.23965202,4.4052621,-0.190559447
65.50479306,46.14921012,0.035312176
65.78190371,72.17663857,0.115722001
103.2410949,9.653905657,-0.249152541
181.0273928,2.597091923,0.175629854
96.91587543,9.201743487,-0.097495317
NA,NA,-0.156154633
249.9607798,17.49314599,0.036815166
NA,NA,0.091503263
64.49298908,0,-0.20309788
54.47769457,8.497149844,-0.161470264
128.5626457,4.213456156,-0.111666739
51.8034926,50.28803206,0.142475367
71.81150067,128.1598738,0.234048843
118.7598213,46.83802055,0.034007013
77.41962575,55.54154189,0.11710459
90.83812579,28.12062055,-0.0844675
NA,NA,0.037203491
NA,NA,0.084474862
35.75349729,33.92438152,-0.122494727
49.08536246,19.91463277,-0.012986362
47.7649334,15.17657416,-0.125547737
146.6005883,182.3994912,-0.238362014
93.45248016,77.39738922,-0.080378473
39.45261514,38.99863506,-0.167037964
78.61676946,11.89658094,0.001493573
80.52418982,28.44546413,0.080401242
41.74893384,NA,-0.017977655
69.8879718,12.40874971,-0.168778211
49.09489873,83.04912093,-0.008987844
57.01287969,51.92088967,-0.178238392
56.49571532,52.91875913,-0.106409639
115.6103557,200.5483479,0.053900719
119.242084,297.1847516,0.126281917
29.77752202,NA,0.098170161
55.2252942,0,0.127488136
46.00327085,0,-0.060815632
37.82843055,38.60839819,0.098435879
167.4257749,43.39314845,0.01621449
43.49050891,NA,0.005875707
50.09138002,145.4565103,-0.133505464
55.17012732,37.15377688,0.032442331
72.90539851,65.9169303,-0.216759086
57.08323548,44.04871339,0.156057239
132.5803343,53.67650957,0.025564313
78.62316928,2.389853933,-0.006245792
104.9372198,75.63639321,-0.175951242
112.4694759,0,-0.002801985
279.7180075,34.92341976,0.194795847
217.757269,56.26379105,0.006350398
73.85836092,107.7690643,-0.004342943
57.06102397,62.89596906,-0.015135258
64.72741234,55.46455081,-0.167977095
99.75858884,0,-0.240713358
146.115572,34.20977778,0.038888395
40.97487101,32.86234714,-0.105079949
NA,NA,-0.044519752
108.0101996,0,0.132710397
151.28597,0,0.230045497
133.0460989,0,0.172169805
69.81559316,0,0.004320443
89.86172419,1.384340024,0.17277205
76.67208725,4.002683223,0.144704759
83.40766989,2.691579591,0.071117878
55.3990089,0,0.131412983
90.39842185,36.54566506,-0.09423396
71.81232714,22.87417784,-0.04709208
NA,NA,-0.018849522
49.60593475,NA,0.103031158
69.20815623,75.67196472,-0.171399117
147.3319301,187.4579633,-0.10902077
152.1904047,49.35369295,-0.063653022
108.6337532,79.49744005,-0.031371355
76.98931994,0,0.11030972
235.6002105,19.75660958,0.003327429
205.771325,46.56026329,-0.026490062
58.64688018,0,0.117162168
75.36630095,0,0.225247502
81.86954641,14.40631055,0.137072086
62.9439736,0,0.015827119
112.9833865,50.07510579,-0.004800379
98.1651271,0,-0.065284699
150.8603372,0,0.081268549
191.8599704,0,-0.043700904
161.9778064,0,0.106309056
